partName,_identifiers-1,note-4:note_type,note-5:note_type,note-2:note_type,note-5:note_value,note-4:note_value,note-2:note_value,_project.string_key,relatedItem_project,form-2:form_term.uri,name-2:name_term.uri,form-2:form_term.value,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,title-1:title_sort_portion,location-1:location_term.uri,location-1:location_term.code,_digital_object_type.string_key,location-1:location_term.value,title-1:title_non_sort_portion,location-1:location_sublocation,collection-1:collection_term.uri,location-1:location_term.authority,_parent_digital_objects-1.identifier,subject_name-1:subject_name_term.uri,name-2:name_role-1.name_role_term.uri,digital_origin-1:digital_origin_value,subject_topic-1:subject_topic_term.uri,subject_title-1:subject_title_term.uri,subject_name-1:subject_name_term.value,clio_identifier-1:clio_identifier_value,name-2:name_role-1.name_role_term.value,subject_title-1:subject_title_term.value,subject_topic-1:subject_topic_term.value,type_of_resource-1:type_of_resource_value,omeka_identifier-1:omeka_identifier_value,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,name-2:name_role-1.name_role_term.authority,subject_title-1:subject_title_term.authority,subject_topic-1:subject_topic_term.authority,use_and_reproduction-1:use_and_reproduction_value,date_created_textual-1:date_created_textual_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,object_in_context_url-1:object_in_context_url_value,note-1:note_type,note-1:note_value,date_created-1:date_created_type
 , ,ownership,holdings,filename, ,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880063.jpg, ,Construction and Evolution of Union Theological Seminary Campus, , ,photographs,"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957", , ,Union Theological Seminary C-7075. Library, , , ,"Burke Library at Union Theological Seminary, Columbia University", ,Union Theological Seminary Archives, ,local, , , ,reformatted digital, , , ,CLIO_4492510, , ,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)",Still Image,9641, , , , , ,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.","Jun 1, 1909","Box 2, Folder 39A", , , , , , , , ,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfront,,,
 , ,ownership,holdings,filename, ,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880062.jpg, ,Construction and Evolution of Union Theological Seminary Campus, , ,photographs,"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957", , ,Union Theological Seminary C-7048. Library, , , ,"Burke Library at Union Theological Seminary, Columbia University", ,Union Theological Seminary Archives, ,local, , , ,reformatted digital, , , ,CLIO_4492510, , ,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)",Still Image,9640, , , , , ,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.","May 3, 1909","Box 2, Folder 38", , , , , , , , ,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfront,,,
 , ,ownership,holdings,filename, ,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880061.jpg, ,Construction and Evolution of Union Theological Seminary Campus, , ,photographs,"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957", , ,Union Theological Seminary C-7016. Library, , , ,"Burke Library at Union Theological Seminary, Columbia University", ,Union Theological Seminary Archives, ,local, , , ,reformatted digital, , , ,CLIO_4492510, , ,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)",Still Image,9639, , , , , ,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.","Apr 1, 1909","Box 2, Folder 37B", , , , , , , , ,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfront, ,"Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",
 , ,ownership,holdings,filename, ,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880060.jpg, ,Construction and Evolution of Union Theological Seminary Campus, , ,photographs,"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957", , ,Union Theological Seminary C-7016. Library, , , ,"Burke Library at Union Theological Seminary, Columbia University", ,Union Theological Seminary Archives, ,local, , , ,reformatted digital, , , ,CLIO_4492510, , ,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)",Still Image,9638, , , , , ,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.","Apr 1, 1909","Box 2, Folder 37A", , , , , , , , ,,,,
 , ,ownership,holdings,filename, ,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880059.jpg, ,Construction and Evolution of Union Theological Seminary Campus, , ,photographs,"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957", , ,Union Theological Seminary C-6969. Library, , , ,"Burke Library at Union Theological Seminary, Columbia University", ,Union Theological Seminary Archives, ,local, , , ,reformatted digital, , , ,CLIO_4492510, , ,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)",Still Image,9637, , , , , ,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.","Mar 1, 1909","Box 2, Folder 36B", , , , , , , , ,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfront, ,"Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",
 , ,ownership,holdings,filename, ,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880058.jpg, ,Construction and Evolution of Union Theological Seminary Campus, , ,photographs,"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957", , ,Union Theological Seminary C-6969. Library, , , ,"Burke Library at Union Theological Seminary, Columbia University", ,Union Theological Seminary Archives, ,local, , , ,reformatted digital, , , ,CLIO_4492510, , ,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)",Still Image,9636, , , , , ,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.","Mar 1, 1909","Box 2, Folder 36A", , , , , , , , ,,,,
 , ,ownership,holdings,filename, ,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880057.jpg, ,Construction and Evolution of Union Theological Seminary Campus, , ,photographs,"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957", , ,"Union Theological Seminary, Broadway and 121st St. C-6920. Library", , , ,"Burke Library at Union Theological Seminary, Columbia University", ,Union Theological Seminary Archives, ,local, , , ,reformatted digital, , , ,CLIO_4492510, , ,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)",Still Image,9635, , , , , ,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.","Feb 1, 1909","Box 2, Folder 35B", , , , , , , , ,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfront, ,"Stamp in lower left hand corner: Louis E. Jallade, Architect and Engineer, 129 Lexington Ave., New York",
 , ,ownership,holdings,filename, ,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880056.jpg, ,Construction and Evolution of Union Theological Seminary Campus, , ,photographs,"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957", , ,"Union Theological Seminary, Broadway and 121st St. C-6920. Library", , , ,"Burke Library at Union Theological Seminary, Columbia University", ,Union Theological Seminary Archives, ,local, , , ,reformatted digital, , , ,CLIO_4492510, , ,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)",Still Image,9634, , , , , ,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.","Feb 1, 1909","Box 2, Folder 35A", , , , , , , , ,,,,
 , ,ownership,holdings,filename, ,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880055.jpg, ,Construction and Evolution of Union Theological Seminary Campus, , ,photographs,"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957", , ,Union Theological Seminary C-6900. Library, , , ,"Burke Library at Union Theological Seminary, Columbia University", ,Union Theological Seminary Archives, ,local, , , ,reformatted digital, , , ,CLIO_4492510, , ,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)",Still Image,9633, , , , , ,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.","Jan 2, 1909","Box 2, Folder 34B", , , , , , , , ,,,,
 , ,ownership,holdings,filename, ,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880054.jpg, ,Construction and Evolution of Union Theological Seminary Campus, , ,photographs,"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957", , ,Union Theological Seminary C-6900. Library, , , ,"Burke Library at Union Theological Seminary, Columbia University", ,Union Theological Seminary Archives, ,local, , , ,reformatted digital, , , ,CLIO_4492510, , ,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)",Still Image,9632, , , , , ,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.","Jan 2, 1909","Box 2, Folder 34A", , , , , , , , ,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfoundation,,,
 , ,ownership,holdings,filename, ,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880053.jpg, ,Construction and Evolution of Union Theological Seminary Campus, , ,photographs,"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957", , ,Union Theological Seminary C-6867. Library (looking east), , , ,"Burke Library at Union Theological Seminary, Columbia University", ,Union Theological Seminary Archives, ,local, , , ,reformatted digital, , , ,CLIO_4492510, , ,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)",Still Image,9631, , , , , ,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.","Dec 1, 1908","Box 2, Folder 33B", , , , , , , , ,https://exhibitions.cul.columbia.edu/exhibits/show/uts/library/libfoundation,,,
 , ,ownership,holdings,filename, ,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880052.jpg, ,Construction and Evolution of Union Theological Seminary Campus, , ,photographs,"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957", , ,Union Theological Seminary C-6867. Library (looking east), , , ,"Burke Library at Union Theological Seminary, Columbia University", ,Union Theological Seminary Archives, ,local, , , ,reformatted digital, , , ,CLIO_4492510, , ,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)",Still Image,9630, , , , , ,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.","Dec 1, 1908","Box 2, Folder 33A", , , , , , , , ,,,,
 , ,ownership,holdings,filename, ,Union Theological Seminary administrative offices transmit records at irregular intervals to the Burke Library Archives; appropriate records are also collected by library staff and donated from a variety of sources in the wider community.,http://ldpd.cul.columbia.edu/burke_buildings/order1401880051.jpg, ,Construction and Evolution of Union Theological Seminary Campus, , ,photographs,"Andrew J. Robinson Co. Builders, NY|Jallade, Louis E. (Louis Eugene), 1876-1957", , ,Union Theological Seminary C-6819. 121st St. and Broadway. Library (looking north towards 122nd St.), , , ,"Burke Library at Union Theological Seminary, Columbia University", ,Union Theological Seminary Archives, ,local, , , ,reformatted digital, , , ,CLIO_4492510, , ,"Union Theological Seminary (New York, N.Y.)|Buildings|New York (N.Y.)",Still Image,9629, , , , , ,"Copyright for the majority of the collection is with Union Theological Seminary in the City of New York. Copyright of most photographs rest with the photographer [Andrew J. Robinson Co. Builders, NY]. It is the responsibility of the researcher to obtain copyright release and permissions for any proposed reproduction of images.","Nov 4, 1908","Box 2, Folder 32B", , , , , , , , ,,,,
