item - itemId,item - public,item - featured,item - DublinCore - Title - text,item - DublinCore - Description - text,item - DublinCore - Source - text,item - DublinCore - Creator - text,item - DublinCore - Date - text,item - DublinCore - Contributor - text,item - OriginalFileLoadedIntoOmeka - text,OriginalFile2,item - ItemType,item - OmekaCollection,item - ItemInContext,item - AdditionalItemMetadata - Provenance - text
825,1,0,Butler Library Banner Project,"Photograph of banner of seven great female authors (Sappho, Marie de France, Christine de Pizan, Sor Juana Ines de la Cruz, Bronte, Dickinson, and Woolf) unfurled over Butler Library.",,,1989,Laura Hotchkiss Brown,banner.jpg,banner2.jpg,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/art---architecture/architecture--page-2,
676,1,0,Soph-Frosh Rush,Students playing with a very large ball in front of Butler Library as part of the 1947 Soph-Frosh Rush.,Historical Photograph Collection;Box 199; Folder 29 (SASL-Traditions -Rushes-1947),"Manny Warman, Columbia University",,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1155,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people,
675,1,0,Craftsmanship Award Presentation,"President Nicholas Murray Butler handing out a Craftsmanship Award in front of South Hall (Butler Library), 1934.","Historical Photograph Collection; Box 185; Folder 27 (Events - Awards - Craftsmanship Award, 1934)",Albert Rothschild,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1154,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people,Events-Awards-Craftmanship Award
674,1,0,Craftsmanship Award Winners,Group photograph of the 1934 Craftsmanship Award winners with President Nicholas Murray Butler in front of South Hall (Butler Library).,"Historical Photograph Collection; Box 185; Folder 27(Events - Awards - Craftsmanship Award, 1934)",Albert Rothschild,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1153,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",,
673,1,0,Commencement 1953,"1953 Columbia graduate, holding two children, having his picture taken after the ceremony is over.",Historical Photograph Collection;Box 189;Folder 9 (Events - Commencement - 1953),,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1152,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",,
672,1,0,Commencement 1957,"View of Butler Library from Low Library entrance, during the 1957commencement.",Historical Photograph Collection;Box 189;Folder 13 (Events - Commencement - 1957),,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1151,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",,
671,1,0,Mace Bearer,"Professor Larkin Farinrolt marches from Butler Library with the mace, in front of President Grayson Kirk, at the 1957 commencement ceremony.",Historical Photograph Collection;MS 189;Folder 13 (Events - Commencement - 1957),Morton Weinstein,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1150,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",,
670,1,0,Commencement Procession,18 May 1977 Commencement ceremony. Procession of University Trustees from Butler Library to Low Plaza.,Historical Photograph Collection;Box 190;Folder 10 (Events - Commencement - 1977),,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1149,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",,
669,1,0,Soph-Frosh Rush,"Crowd standing in front of Butler Library after the completion of the Soph-Frosh Rush, ca. 1950.","Historical Photograph Collection;Box 199; Folder 23 (SASL-Traditions - Rushes, n.d.)","Paul B. Coogan, Columbian",,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1148,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",,
668,1,0,Frosh-Soph Tug of War,Tug of war for Soph-Frosh Rush taking place in front of Butler Library.,"Historical Photograph Collection;Box 199; Folder 23 (SASL-Traditions - Rushes, n.d.)",,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1147,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",,
667,1,0,Soph-Frosh Rush 1950,Crowd of students in front of Butler Library participating in the 1950 Soph-Frosh Rush. ,Historical Photograph Collection; Box 199; Folder 32 (SASL-Traditions -Rushes-1950),George Zimbel,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1146,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people,
666,1,0,Sleeping in the Library,"Group of students sleeping at a library table, ca. 1970s.","Historical Photograph Collection; Box 195; Folder 14 (Student Life - Miscellaneous, ca. 1960-1990s)",,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1145,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",,
665,1,0,Columbia Bicentennial Display,"""Students discuss one of the panels in Columbia University's Bicentennial Exhibit entitled 'A Man's Right to Knowledge and the Free Use Thereof."" A funereal design surrounds a photograph showing the damaged front of the office of La Prensa, the opposition newspaper in Buenos Aires, Argentina, closed by order of Juan Peron, January 26, 1951. The quotation from John Locke reads: '...if what (a man) holds be, as he gives out, well fenced with evidence, and he sees it to be true, what need he fear to put it to the proof?...He whose assent goes beyond his evidence owes this excess of his adherence only to prejudice, and does, in effect, own it....declaring thereby that it is not evidence he seeks but the quiet enjoyment of the opinion he is fond of...'""","Historical Photograph Collection; MS 149; Folder 2 (Bicentennial - Exhibits - Columbia University, New York, 1954)","Manny Warman, Columbia University",,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1144,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people,
664,1,0,Exhibit of French Universities at Butler Library ,"Image of (L to R) Pierre Douzelot, President Grayson Kirk, Jean Sarrailk, and Henri Bonnet examining a part of the exhibit of French Universities at Butler Library, 18 October 1954.","Historical Photograph Collection; MS 149; Folder 2 (Bicentennial - Exhibits - Columbia University, New York, 1954)",,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1143,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/art---architecture/art---architecture,
663,1,0,Columbia Bicentennial Coverage,Woman looking at bulletin board containing examples of the media coverage for Columbia University's Bicentennial in 1954. ,"Historical Photograph Collection; MS 149; Folder 2 (Bicentennial - Exhibits - Columbia University, New York, 1954)",,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1142,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",,
662,1,0," ""Banned Books"" Display","""Students pore over a display of ""Banned Books of All Ages"" in Butler Library at Columbia University which is observing its 200th anniversary throughout 1954.""","Historical Photograph Collection; Box 149; Folder 2 (Bicentennial - Exhibits - Columbia University, New York, 1954)","Manny Warman, Columbia University",,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1141,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",,
661,1,0,Film Editing,"CMC (Columbia Movie Club?) members editing film, ca. 1947.",Historical Photograph Collection; Box 129; Folder 2 (Academics - Affiliated Institutions - Columbia University Press),,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1140,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people,
660,1,0,Columbia Encyclopedia Publication Party,Professor Tyndall and Dwight Miner at the publication party for the Columbia Encyclopedia.,Historical Photograph Collection; Box 129; Folder 2 (Academics - Affiliated Institutions - Columbia University Press),"Manny Warman, Columbia University",,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1139,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people,
659,1,0,Recent Books by Columbia Faculty,"Table of Columbia University Press books written by Columbia Faculty, May 1951.",Historical Photograph Collection; Box 129; Folder 2 (Academics - Affiliated Institutions - Columbia University Press),,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1138,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",,
658,1,0,Checking Sources,"""Theodore Shabad, assistant editor of the Gazetteer, checks data on source which include a Communist atlas published in 1950, and the China Postal Guide in both Chinese and English editions. """,Historical Photograph Collection; Box 129; Folder 2 (Academics - Affiliated Institutions - Columbia University Press),"Manny Warman, Columbia University",,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1137,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people,
657,1,0,Viewing a Rare Book Display,Patron viewing a display of rare books in the Rare Book and Manuscript Library.,"Historical Photograph Collection;Box 138;Folder 11 (Administration - Provost - Libraries, Butler, Rare Book and Manuscript)",,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1136,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people--page-3,
656,1,0,Consulting Rare Publications,"A student working with some of the rare publications dealing with the Russian Revolutionary Movement, purchased by Columbia University from funds granted by the Rockefeller Foundation.","Historical Photograph Collection;Box 138;Folder 11(Administration - Provost - Libraries, Butler, Rare Book and Manuscript)",,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1135,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people--page-3,
655,0,0,Rare Map,Rare Book and Manuscript Library staff member holding up an antique map.,"Historical Photograph Collection;Box 138;Folder 11 (Administration - Provost - Libraries, Butler, Rare Book and Manuscript)","Manny Warman, Columbia University.",,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1134,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",,"(Administration - Provost - Libraries, Butler, Rare Book and Manuscript)"
654,1,0,Examining Papyrus,Two scholars (one of whom is Professor John Day) looking at papyrus with magnifying glass in the Rare Book and Manuscript Library.,"Historical Photograph Collection;Box 138;Folder 11 (Administration - Provost - Libraries, Butler, Rare book and Manuscript)",Esther Bubbley,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1133,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people--page-2,
653,1,0,Unloading The Book Elevator ,"31 August 1934. Student workers unloading books from book elevator outside of Low Memorial Library. Between August 20 and September 19, 1934 student workers and professional movers moved books from their original home in Low Library to their new home in South Hall (Butler Library).","Historical Photograph Collection;Box 138;Folder 9 (Administration - Provost - Libraries, Butler Transfer of Books from Low)",Boldtman,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1132,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people--page-2,
652,1,0,Low Library Book Elevator,"View of the temporary book elevator constructed alongside Low Memorial Library as seen on 31 August 1934. Between August 20 and September 19, 1934 student workers and professional movers moved books from their original home in Low Library to their new home in South Hall (Butler Library).","Historical Photograph Collection;Box 138;Folder 9 (Administration - Provost - Libraries, Butler Transfer of Books from Low)",Boldtman,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1131,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",,
651,1,0,Book Transfer,"31 August 1934. Boxes of books loaded onto the book chute next to the Alma Mater on their way across campus. Between August 20 and September 19, 1934 student workers and professional movers moved books from their original home in Low Library to their new home in South Hall (Butler Library).",HPC;MS 138;Folder 9,Boldtman,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1130,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people--page-2,"Administration-Provost-Libraries, Butler Transfer of Books from Low"
650,1,0,Book Transfer,"Image of student workers moving boxes from book chutes onto book carts at the foot of stairs to Low Plaza. Between August 20 and September 19, 1934 student workers and professional movers moved books from their original home in Low Library to their new home in South Hall (Butler Library).","Historical Photograph Collection;Box 138;Folder 9 (Administration - Provost - Libraries, Butler Transfer of Books from Low)",Sprague,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1129,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people--page-2,
649,1,0,Book Transfer ,"View of one portion of the book conveyor system from behind the Alma Mater statue on Low Plaza. Between August 20 and September 19, 1934 student workers and professional movers moved books from their original home in Low Library to their new home in South Hall (Butler Library).","Historical Photograph Collection;Box 138;Folder 9 (Administration - Provost - Libraries, Butler Transfer of Books from Low)",Sprague,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1128,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people--page-2,
648,1,0,Oral History Transcriber,Woman listening to an oral history tape and transcribing the interview.,"Historical Photograph Collection;Box 138;Folder 8 (Administration - Provost - Libraries, Oral History Research Office)",Esther Bubbley,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=B75_1127,,Still Image,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",,
