_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,note-1:note_value,note-2:note_type,note-2:note_value,title-1:title_non_sort_portion,title-1:title_sort_portion,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-1.name_role_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_usage_primary,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,name-2:name_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-1.name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_term.authority,name-3:name_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.uri,genre-1:genre_term.authority,genre-2:genre_term.value,genre-2:genre_term.authority,genre-2:genre_term.uri,location-1:location_term.value,location-1:location_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,digital_origin-1:digital_origin_value,place_of_origin-1:place_of_origin_value,omeka_identifier-1:omeka_identifier_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,restriction_on_access-1:restriction_on_access_value,clio_identifier-1:clio_identifier_value,location-1:location_shelf_location-1.location_shelf_location_free_text,collection-1:collection_term.value,collection-1:collection_term.uri,object_in_context_url-1:object_in_context_url_value,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,type_of_resource-1:type_of_resource_value,_project.string_key
item,rbml_omeka_memory_0025,,,,,,"Wryting tables, with a necessarie calender fayres in Englande, the festiuall holydayes, the hie wayes from one towne to another","Adams, Frank, active 1580-1601",personal,naf,http://id.loc.gov/authorities/names/nr92044421,Bookseller,marcrelator,http://id.loc.gov/vocabulary/relators/bsl,,,,,,,,,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,Early works,http://id.worldcat.org/fast/1411636,fast,Amanacs,fast,http://id.worldcat.org/fast/1423872,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,1583,1583,TRUE,reformatted digital,"England, London",,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,6766017,PLIMPTON 529.3 1583 W94,George Arthur Plimpton Library,http://id.library.columbia.edu/term/65063ef0-13d8-4c02-a7a8-10a77e763a8c,,,,,,,,,,,text,
asset,rbml_omeka_memory_0025_001,rbml_omeka_memory_0025,Original filename:omeka_memory_0025,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0025.jpg, ,Title page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12049,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/writingtablets,,,,,,,,,,,
asset,rbml_omeka_memory_0025_002,rbml_omeka_memory_0025,Original filename:omeka_memory_0026,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0026.jpg, ,Opening with writing table on the right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12050,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/writingtablets,,,,,,,,,,,
item,rbml_omeka_memory_0023,,,,,The,castel of helth corrected and in some places augmented,"Elyot, Thomas, Sir, 1490?-1546",personal,naf,http://id.loc.gov/authorities/names/n50011816,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,"Berthelet, Thomas, active 1520-1555",personal,naf,http://id.loc.gov/authorities/names/nr93001072,Printer,marcrelator,http://id.loc.gov/vocabulary/relators/prt,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,Early works,http://id.worldcat.org/fast/1411636,fast,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,1541,1541,TRUE,reformatted digital,Londini,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,9572791,B613 EL96 c.1,,,,Medicine,fast,http://id.worldcat.org/fast/1014893,,,,,,,text,
asset,rbml_omeka_memory_0023_001,rbml_omeka_memory_0023,Original filename:omeka_memory_0023,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0023.jpg, ,Title page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12047,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/materialmemorials/elyotcastel,,,,,,,,,,,
asset,rbml_omeka_memory_0023_059,rbml_omeka_memory_0023,Original filename:omeka_memory_0024,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0024.jpg, ,Page 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12048,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/materialmemorials/elyotcastel,,,,,,,,,,,
item,rbml_omeka_memory_0021,,,,,The,faerie queene,"Spenser, Edmund, 1552?-1599",personal,naf,http://id.loc.gov/authorities/names/n78081910,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,,,,,,,,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,Early works,http://id.worldcat.org/fast/1411636,fast,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,1611,1611,TRUE,reformatted digital,London,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,,,,,,,,,,,,,,text,
asset,rbml_omeka_memory_0021_001,rbml_omeka_memory_0021,Original filename:omeka_memory_0021,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0021.jpg, ,Title page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12045,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/spenserfq,,,,,,,,,,,
asset,rbml_omeka_memory_0021_102,rbml_omeka_memory_0021,Original filename:omeka_memory_0022,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0022.jpg, ,Page 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12046,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/spenserfq,,,,,,,,,,,
item,rbml_omeka_memory_0019,,,,,,"Poems on various subjects, religious and moral","Wheatley, Phillis, 1753-1784",personal,naf,http://id.loc.gov/authorities/names/n50016726,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,,,,,,,,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,Early works,http://id.worldcat.org/fast/1411636,fast,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,1786,1786,TRUE,reformatted digital,"United States, Pennsylvania, Philadelphia",,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,367456,PS866 .W5 1786,,,,,,,,,,,,,text,
asset,rbml_omeka_memory_0019_001,rbml_omeka_memory_0019,Original filename:omeka_memory_0019_001,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0019_001.jpg, ,Title page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12041,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,,,,,,,,,,,,
asset,rbml_omeka_memory_0019_002,rbml_omeka_memory_0019,Original filename:omeka_memory_0019_002,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0019_002.jpg, ,Title page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12042,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/wheatleypoems,,,,,,,,,,,
asset,rbml_omeka_memory_0019_034,rbml_omeka_memory_0019,Original filename:omeka_memory_0020_001,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0020_001.jpg, ,Pages 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12043,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/wheatleypoems,,,,,,,,,,,
asset,rbml_omeka_memory_0019_035,rbml_omeka_memory_0019,Original filename:omeka_memory_0020_002,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0020_002.jpg, ,Pages 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12044,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/memoryandpoetry/wheatleypoems,,,,,,,,,,,
